
> nodebb@4.8.0 lint:jshint
> jshint .

install/databases.js: line 3, col 7, Redefinition of 'prompt'.
test/activitypub/actors.js: line 81, col 5, 'describe' is not defined.
test/activitypub/actors.js: line 82, col 9, 'describe' is not defined.
test/activitypub/actors.js: line 123, col 5, 'describe' is not defined.
test/activitypub/actors.js: line 153, col 1, 'describe' is not defined.
test/activitypub/actors.js: line 154, col 5, 'describe' is not defined.
test/activitypub/actors.js: line 199, col 9, 'describe' is not defined.
test/activitypub/actors.js: line 231, col 5, 'describe' is not defined.
test/activitypub/actors.js: line 245, col 9, 'describe' is not defined.
test/activitypub/actors.js: line 299, col 9, 'describe' is not defined.
test/activitypub/actors.js: line 346, col 1, 'describe' is not defined.
test/activitypub/actors.js: line 347, col 5, 'describe' is not defined.
test/activitypub/actors.js: line 374, col 5, 'describe' is not defined.
test/activitypub/actors.js: line 403, col 1, 'describe' is not defined.
test/activitypub/actors.js: line 404, col 5, 'describe' is not defined.
test/activitypub/actors.js: line 446, col 5, 'describe' is not defined.
test/activitypub/actors.js: line 539, col 5, 'describe' is not defined.
test/activitypub/actors.js: line 586, col 5, 'describe' is not defined.
test/activitypub/actors.js: line 596, col 9, 'describe' is not defined.
test/activitypub/actors.js: line 629, col 9, 'describe' is not defined.
test/activitypub/actors.js: line 657, col 5, 'describe' is not defined.
test/activitypub/actors.js: line 667, col 9, 'describe' is not defined.
test/activitypub/actors.js: line 697, col 9, 'describe' is not defined.
test/activitypub/actors.js: line 727, col 1, 'describe' is not defined.
test/activitypub/actors.js: line 739, col 5, 'describe' is not defined.
test/activitypub/actors.js: line 784, col 5, 'describe' is not defined.
test/activitypub/actors.js: line 20, col 5, 'before' is not defined.
test/activitypub/actors.js: line 29, col 9, 'before' is not defined.
test/activitypub/actors.js: line 126, col 9, 'before' is not defined.
test/activitypub/actors.js: line 158, col 9, 'before' is not defined.
test/activitypub/actors.js: line 543, col 9, 'before' is not defined.
test/activitypub/actors.js: line 590, col 9, 'before' is not defined.
test/activitypub/actors.js: line 601, col 13, 'before' is not defined.
test/activitypub/actors.js: line 634, col 13, 'before' is not defined.
test/activitypub/actors.js: line 661, col 9, 'before' is not defined.
test/activitypub/actors.js: line 672, col 13, 'before' is not defined.
test/activitypub/actors.js: line 703, col 13, 'before' is not defined.
test/activitypub/actors.js: line 728, col 5, 'before' is not defined.
test/activitypub/actors.js: line 52, col 9, 'it' is not defined.
test/activitypub/actors.js: line 57, col 9, 'it' is not defined.
test/activitypub/actors.js: line 66, col 9, 'it' is not defined.
test/activitypub/actors.js: line 71, col 9, 'it' is not defined.
test/activitypub/actors.js: line 83, col 13, 'it' is not defined.
test/activitypub/actors.js: line 92, col 13, 'it' is not defined.
test/activitypub/actors.js: line 102, col 13, 'it' is not defined.
test/activitypub/actors.js: line 130, col 9, 'it' is not defined.
test/activitypub/actors.js: line 142, col 9, 'it' is not defined.
test/activitypub/actors.js: line 164, col 9, 'it' is not defined.
test/activitypub/actors.js: line 174, col 9, 'it' is not defined.
test/activitypub/actors.js: line 180, col 9, 'it' is not defined.
test/activitypub/actors.js: line 186, col 9, 'it' is not defined.
test/activitypub/actors.js: line 192, col 9, 'it' is not defined.
test/activitypub/actors.js: line 200, col 13, 'it' is not defined.
test/activitypub/actors.js: line 216, col 13, 'it' is not defined.
test/activitypub/actors.js: line 246, col 13, 'it' is not defined.
test/activitypub/actors.js: line 251, col 13, 'it' is not defined.
test/activitypub/actors.js: line 257, col 13, 'it' is not defined.
test/activitypub/actors.js: line 262, col 13, 'it' is not defined.
test/activitypub/actors.js: line 272, col 13, 'it' is not defined.
test/activitypub/actors.js: line 283, col 13, 'it' is not defined.
test/activitypub/actors.js: line 309, col 13, 'it' is not defined.
test/activitypub/actors.js: line 314, col 13, 'it' is not defined.
test/activitypub/actors.js: line 320, col 13, 'it' is not defined.
test/activitypub/actors.js: line 325, col 13, 'it' is not defined.
test/activitypub/actors.js: line 330, col 13, 'it' is not defined.
test/activitypub/actors.js: line 348, col 9, 'it' is not defined.
test/activitypub/actors.js: line 358, col 9, 'it' is not defined.
test/activitypub/actors.js: line 375, col 9, 'it' is not defined.
test/activitypub/actors.js: line 386, col 9, 'it' is not defined.
test/activitypub/actors.js: line 413, col 9, 'it' is not defined.
test/activitypub/actors.js: line 434, col 9, 'it' is not defined.
test/activitypub/actors.js: line 460, col 9, 'it' is not defined.
test/activitypub/actors.js: line 487, col 9, 'it' is not defined.
test/activitypub/actors.js: line 498, col 9, 'it' is not defined.
test/activitypub/actors.js: line 518, col 9, 'it' is not defined.
test/activitypub/actors.js: line 551, col 9, 'it' is not defined.
test/activitypub/actors.js: line 556, col 9, 'it' is not defined.
test/activitypub/actors.js: line 571, col 9, 'it' is not defined.
test/activitypub/actors.js: line 576, col 9, 'it' is not defined.
test/activitypub/actors.js: line 616, col 13, 'it' is not defined.
test/activitypub/actors.js: line 621, col 13, 'it' is not defined.
test/activitypub/actors.js: line 650, col 13, 'it' is not defined.
test/activitypub/actors.js: line 687, col 13, 'it' is not defined.
test/activitypub/actors.js: line 692, col 13, 'it' is not defined.
test/activitypub/actors.js: line 719, col 13, 'it' is not defined.
test/activitypub/actors.js: line 740, col 9, 'it' is not defined.
test/activitypub/actors.js: line 755, col 9, 'it' is not defined.
test/activitypub/actors.js: line 765, col 9, 'it' is not defined.
test/activitypub/actors.js: line 785, col 9, 'it' is not defined.
test/activitypub/actors.js: line 800, col 9, 'it' is not defined.
test/activitypub/actors.js: line 811, col 9, 'it' is not defined.
test/activitypub/actors.js: line 235, col 9, 'beforeEach' is not defined.
test/activitypub/actors.js: line 300, col 13, 'beforeEach' is not defined.
test/activitypub/actors.js: line 408, col 9, 'beforeEach' is not defined.
test/activitypub/actors.js: line 451, col 9, 'beforeEach' is not defined.
test/activitypub/actors.js: line 241, col 9, 'afterEach' is not defined.
test/activitypub/actors.js: line 735, col 5, 'after' is not defined.

test/activitypub/analytics.js: line 17, col 1, 'describe' is not defined.
test/activitypub/analytics.js: line 22, col 5, 'before' is not defined.
test/activitypub/analytics.js: line 42, col 5, 'after' is not defined.
test/activitypub/analytics.js: line 46, col 5, 'beforeEach' is not defined.
test/activitypub/analytics.js: line 56, col 5, 'it' is not defined.
test/activitypub/analytics.js: line 74, col 5, 'it' is not defined.
test/activitypub/analytics.js: line 106, col 5, 'it' is not defined.
test/activitypub/analytics.js: line 127, col 5, 'it' is not defined.
test/activitypub/analytics.js: line 15, col 7, 'api' is defined but never used.

test/activitypub/feps.js: line 41, col 41, 'actor' is defined but never used.
test/activitypub/feps.js: line 20, col 1, 'describe' is not defined.
test/activitypub/feps.js: line 26, col 5, 'describe' is not defined.
test/activitypub/feps.js: line 27, col 9, 'describe' is not defined.
test/activitypub/feps.js: line 51, col 13, 'describe' is not defined.
test/activitypub/feps.js: line 132, col 13, 'describe' is not defined.
test/activitypub/feps.js: line 221, col 13, 'describe' is not defined.
test/activitypub/feps.js: line 21, col 5, 'before' is not defined.
test/activitypub/feps.js: line 32, col 13, 'before' is not defined.
test/activitypub/feps.js: line 54, col 17, 'before' is not defined.
test/activitypub/feps.js: line 137, col 17, 'before' is not defined.
test/activitypub/feps.js: line 47, col 13, 'afterEach' is not defined.
test/activitypub/feps.js: line 62, col 17, 'afterEach' is not defined.
test/activitypub/feps.js: line 145, col 17, 'afterEach' is not defined.
test/activitypub/feps.js: line 66, col 17, 'it' is not defined.
test/activitypub/feps.js: line 85, col 17, 'it' is not defined.
test/activitypub/feps.js: line 101, col 17, 'it' is not defined.
test/activitypub/feps.js: line 119, col 17, 'it' is not defined.
test/activitypub/feps.js: line 149, col 17, 'it' is not defined.
test/activitypub/feps.js: line 161, col 17, 'it' is not defined.
test/activitypub/feps.js: line 185, col 17, 'it' is not defined.
test/activitypub/feps.js: line 204, col 17, 'it' is not defined.
test/activitypub/feps.js: line 222, col 17, 'it' is not defined.
test/activitypub/feps.js: line 245, col 17, 'it' is not defined.
test/activitypub/feps.js: line 6, col 7, 'db' is defined but never used.

test/activitypub/notes.js: line 87, col 38, 'actor' is defined but never used.
test/activitypub/notes.js: line 109, col 33, 'actor' is defined but never used.
test/activitypub/notes.js: line 176, col 33, 'note' is defined but never used.
test/activitypub/notes.js: line 210, col 25, 'id' is defined but never used.
test/activitypub/notes.js: line 248, col 976, Line is too long.
test/activitypub/notes.js: line 292, col 29, 'pid' is defined but never used.
test/activitypub/notes.js: line 456, col 35, 'id' is defined but never used.
test/activitypub/notes.js: line 19, col 1, 'describe' is not defined.
test/activitypub/notes.js: line 25, col 5, 'describe' is not defined.
test/activitypub/notes.js: line 26, col 9, 'describe' is not defined.
test/activitypub/notes.js: line 68, col 13, 'describe' is not defined.
test/activitypub/notes.js: line 103, col 13, 'describe' is not defined.
test/activitypub/notes.js: line 188, col 9, 'describe' is not defined.
test/activitypub/notes.js: line 222, col 5, 'describe' is not defined.
test/activitypub/notes.js: line 229, col 9, 'describe' is not defined.
test/activitypub/notes.js: line 241, col 13, 'describe' is not defined.
test/activitypub/notes.js: line 281, col 13, 'describe' is not defined.
test/activitypub/notes.js: line 308, col 9, 'describe' is not defined.
test/activitypub/notes.js: line 320, col 13, 'describe' is not defined.
test/activitypub/notes.js: line 349, col 13, 'describe' is not defined.
test/activitypub/notes.js: line 387, col 5, 'describe' is not defined.
test/activitypub/notes.js: line 388, col 9, 'describe' is not defined.
test/activitypub/notes.js: line 433, col 9, 'describe' is not defined.
test/activitypub/notes.js: line 441, col 13, 'describe' is not defined.
test/activitypub/notes.js: line 501, col 13, 'describe' is not defined.
test/activitypub/notes.js: line 534, col 9, 'describe' is not defined.
test/activitypub/notes.js: line 541, col 13, 'describe' is not defined.
test/activitypub/notes.js: line 559, col 13, 'describe' is not defined.
test/activitypub/notes.js: line 636, col 13, 'describe' is not defined.
test/activitypub/notes.js: line 672, col 13, 'describe' is not defined.
test/activitypub/notes.js: line 717, col 13, 'describe' is not defined.
test/activitypub/notes.js: line 735, col 5, 'describe' is not defined.
test/activitypub/notes.js: line 804, col 5, 'describe' is not defined.
test/activitypub/notes.js: line 20, col 5, 'before' is not defined.
test/activitypub/notes.js: line 107, col 17, 'before' is not defined.
test/activitypub/notes.js: line 191, col 13, 'before' is not defined.
test/activitypub/notes.js: line 225, col 9, 'before' is not defined.
test/activitypub/notes.js: line 232, col 13, 'before' is not defined.
test/activitypub/notes.js: line 244, col 17, 'before' is not defined.
test/activitypub/notes.js: line 284, col 17, 'before' is not defined.
test/activitypub/notes.js: line 311, col 13, 'before' is not defined.
test/activitypub/notes.js: line 437, col 13, 'before' is not defined.
test/activitypub/notes.js: line 505, col 17, 'before' is not defined.
test/activitypub/notes.js: line 537, col 13, 'before' is not defined.
test/activitypub/notes.js: line 566, col 17, 'before' is not defined.
test/activitypub/notes.js: line 740, col 9, 'before' is not defined.
test/activitypub/notes.js: line 809, col 9, 'before' is not defined.
test/activitypub/notes.js: line 27, col 13, 'it' is not defined.
test/activitypub/notes.js: line 40, col 13, 'it' is not defined.
test/activitypub/notes.js: line 53, col 13, 'it' is not defined.
test/activitypub/notes.js: line 69, col 17, 'it' is not defined.
test/activitypub/notes.js: line 86, col 17, 'it' is not defined.
